line_id,request_id,item_id,quantity,notes
LIN-00194,REQ-00079,ITM-0020,1,
LIN-00195,REQ-00080,ITM-0115,1,Per client request
LIN-00196,REQ-00081,ITM-0105,5,
LIN-00197,REQ-00082,ITM-0090,1,
LIN-00198,REQ-00082,ITM-0030,5,Per client request
LIN-00199,REQ-00082,ITM-0037,1,
LIN-00200,REQ-00082,ITM-0106,3,
LIN-00201,REQ-00083,ITM-0106,5,
LIN-00202,REQ-00083,ITM-0114,1,Substitute if unavailable
LIN-00203,REQ-00083,ITM-0038,5,
LIN-00204,REQ-00083,ITM-0114,3,
LIN-00205,REQ-00084,ITM-0126,5,
LIN-00206,REQ-00084,ITM-0071,3,Per client request
LIN-00207,REQ-00084,ITM-0069,4,Substitute if unavailable
LIN-00208,REQ-00084,ITM-0072,4,Per client request
LIN-00209,REQ-00085,ITM-0129,5,
LIN-00210,REQ-00085,ITM-0078,5,Per client request
LIN-00211,REQ-00085,ITM-0127,3,
LIN-00212,REQ-00085,ITM-0063,3,
LIN-00213,REQ-00086,ITM-0044,3,
LIN-00214,REQ-00087,ITM-0025,2,Per client request
LIN-00215,REQ-00087,ITM-0067,3,Substitute if unavailable
LIN-00216,REQ-00087,ITM-0020,4,Extra portion
LIN-00217,REQ-00087,ITM-0062,4,
LIN-00218,REQ-00088,ITM-0010,4,Frozen preferred
LIN-00219,REQ-00088,ITM-0023,4,Extra portion
LIN-00220,REQ-00089,ITM-0078,1,
LIN-00221,REQ-00090,ITM-0146,3,Frozen preferred
LIN-00222,REQ-00090,ITM-0099,3,Per client request
LIN-00223,REQ-00091,ITM-0023,3,
LIN-00224,REQ-00091,ITM-0111,5,Frozen preferred
LIN-00225,REQ-00091,ITM-0007,1,
LIN-00226,REQ-00091,ITM-0113,3,
LIN-00227,REQ-00092,ITM-0055,2,
LIN-00228,REQ-00092,ITM-0019,2,Substitute if unavailable
LIN-00229,REQ-00092,ITM-0018,2,
LIN-00230,REQ-00092,ITM-0072,1,
LIN-00231,REQ-00093,ITM-0118,2,Per client request
LIN-00232,REQ-00093,ITM-0065,3,Substitute if unavailable
LIN-00233,REQ-00093,ITM-0127,1,Extra portion
LIN-00234,REQ-00093,ITM-0150,2,
LIN-00235,REQ-00094,ITM-0037,3,
LIN-00236,REQ-00094,ITM-0027,3,Extra portion
LIN-00237,REQ-00094,ITM-0026,5,Per client request
LIN-00238,REQ-00095,ITM-0061,2,Frozen preferred
LIN-00239,REQ-00096,ITM-0041,3,
LIN-00240,REQ-00096,ITM-0085,5,
LIN-00241,REQ-00097,ITM-0043,2,Substitute if unavailable
LIN-00242,REQ-00097,ITM-0036,1,Per client request
LIN-00243,REQ-00097,ITM-0108,2,
LIN-00244,REQ-00097,ITM-0115,5,Extra portion
LIN-00245,REQ-00098,ITM-0112,5,
LIN-00246,REQ-00098,ITM-0006,3,
LIN-00247,REQ-00098,ITM-0057,4,Extra portion
LIN-00248,REQ-00099,ITM-0110,1,Extra portion
LIN-00249,REQ-00099,ITM-0006,3,Extra portion
LIN-00250,REQ-00100,ITM-0108,4,Frozen preferred
LIN-00251,REQ-00100,ITM-0015,4,
LIN-00252,REQ-00101,ITM-0112,3,
LIN-00253,REQ-00101,ITM-0021,5,
LIN-00254,REQ-00101,ITM-0066,1,Per client request
LIN-00255,REQ-00101,ITM-0018,1,Substitute if unavailable
LIN-00256,REQ-00102,ITM-0111,1,
LIN-00257,REQ-00103,ITM-0094,4,Frozen preferred
LIN-00258,REQ-00103,ITM-0125,1,
LIN-00259,REQ-00104,ITM-0030,5,
LIN-00260,REQ-00105,ITM-0008,3,Extra portion
LIN-00261,REQ-00105,ITM-0104,3,Substitute if unavailable
LIN-00262,REQ-00105,ITM-0023,4,
LIN-00263,REQ-00105,ITM-0112,5,Per client request
LIN-00264,REQ-00106,ITM-0113,3,Frozen preferred
LIN-00265,REQ-00106,ITM-0045,1,Substitute if unavailable
LIN-00266,REQ-00107,ITM-0111,4,Frozen preferred
LIN-00267,REQ-00107,ITM-0055,3,
LIN-00268,REQ-00107,ITM-0004,2,
LIN-00269,REQ-00107,ITM-0011,1,Substitute if unavailable
LIN-00270,REQ-00108,ITM-0135,4,Frozen preferred
LIN-00271,REQ-00108,ITM-0138,5,
LIN-00272,REQ-00108,ITM-0113,2,Frozen preferred
LIN-00273,REQ-00109,ITM-0149,1,Extra portion
LIN-00274,REQ-00109,ITM-0144,1,Extra portion
LIN-00275,REQ-00109,ITM-0139,3,Substitute if unavailable
LIN-00276,REQ-00110,ITM-0078,5,Extra portion
LIN-00277,REQ-00110,ITM-0140,3,Substitute if unavailable
LIN-00278,REQ-00110,ITM-0099,1,
LIN-00279,REQ-00111,ITM-0141,2,Substitute if unavailable
LIN-00280,REQ-00111,ITM-0100,4,
LIN-00281,REQ-00112,ITM-0020,1,Substitute if unavailable
LIN-00282,REQ-00112,ITM-0013,1,
LIN-00283,REQ-00113,ITM-0092,3,Frozen preferred
LIN-00284,REQ-00113,ITM-0102,2,Frozen preferred
LIN-00285,REQ-00113,ITM-0112,2,
LIN-00286,REQ-00114,ITM-0146,3,Per client request
LIN-00287,REQ-00114,ITM-0116,2,
LIN-00288,REQ-00115,ITM-0110,5,
LIN-00289,REQ-00115,ITM-0018,1,Frozen preferred
LIN-00290,REQ-00115,ITM-0006,2,
LIN-00291,REQ-00116,ITM-0119,4,
LIN-00292,REQ-00116,ITM-0104,5,
LIN-00293,REQ-00116,ITM-0067,5,
LIN-00294,REQ-00116,ITM-0062,1,Per client request
LIN-00295,REQ-00117,ITM-0004,4,
LIN-00296,REQ-00117,ITM-0010,2,
LIN-00297,REQ-00118,ITM-0052,4,Extra portion
LIN-00298,REQ-00119,ITM-0057,4,Substitute if unavailable
LIN-00299,REQ-00119,ITM-0136,4,Frozen preferred
LIN-00300,REQ-00120,ITM-0132,5,Per client request
LIN-00301,REQ-00120,ITM-0127,5,Substitute if unavailable
LIN-00302,REQ-00120,ITM-0072,4,Substitute if unavailable
LIN-00303,REQ-00120,ITM-0144,5,Extra portion
LIN-00304,REQ-00121,ITM-0092,2,Frozen preferred
LIN-00305,REQ-00121,ITM-0083,5,
LIN-00306,REQ-00121,ITM-0109,2,
LIN-00307,REQ-00122,ITM-0016,5,Extra portion
LIN-00308,REQ-00122,ITM-0013,1,Per client request
LIN-00309,REQ-00122,ITM-0022,3,Extra portion
LIN-00310,REQ-00124,ITM-0059,3,
LIN-00311,REQ-00125,ITM-0109,4,
LIN-00312,REQ-00125,ITM-0010,4,Substitute if unavailable
LIN-00313,REQ-00126,ITM-0005,2,
LIN-00314,REQ-00127,ITM-0103,5,Frozen preferred
LIN-00315,REQ-00128,ITM-0137,4,Frozen preferred
LIN-00316,REQ-00128,ITM-0098,4,
LIN-00317,REQ-00128,ITM-0054,4,Per client request
LIN-00318,REQ-00129,ITM-0044,2,
LIN-00319,REQ-00130,ITM-0064,3,
LIN-00320,REQ-00130,ITM-0129,4,Frozen preferred
LIN-00321,REQ-00130,ITM-0148,5,
LIN-00322,REQ-00131,ITM-0024,4,
LIN-00323,REQ-00131,ITM-0111,5,Extra portion
LIN-00324,REQ-00131,ITM-0017,5,Substitute if unavailable
LIN-00325,REQ-00131,ITM-0060,2,Frozen preferred
LIN-00326,REQ-00132,ITM-0108,4,Substitute if unavailable
LIN-00327,REQ-00132,ITM-0148,4,Per client request
LIN-00328,REQ-00132,ITM-0131,2,Per client request
LIN-00329,REQ-00133,ITM-0019,4,
LIN-00330,REQ-00133,ITM-0115,2,
LIN-00331,REQ-00133,ITM-0006,5,
LIN-00332,REQ-00133,ITM-0107,2,
LIN-00333,REQ-00134,ITM-0115,2,
LIN-00334,REQ-00134,ITM-0069,2,Frozen preferred
LIN-00335,REQ-00134,ITM-0105,1,
LIN-00336,REQ-00134,ITM-0014,5,Per client request
LIN-00337,REQ-00135,ITM-0014,2,Frozen preferred
LIN-00338,REQ-00136,ITM-0103,2,
LIN-00339,REQ-00136,ITM-0085,2,Substitute if unavailable
LIN-00340,REQ-00136,ITM-0034,4,
LIN-00341,REQ-00137,ITM-0061,3,Substitute if unavailable
LIN-00342,REQ-00137,ITM-0145,3,Extra portion
LIN-00343,REQ-00137,ITM-0139,3,
LIN-00344,REQ-00138,ITM-0010,5,
LIN-00345,REQ-00138,ITM-0020,3,
LIN-00346,REQ-00138,ITM-0006,1,Extra portion
LIN-00347,REQ-00138,ITM-0003,2,
LIN-00348,REQ-00139,ITM-0121,3,
LIN-00349,REQ-00139,ITM-0124,5,Substitute if unavailable
LIN-00350,REQ-00139,ITM-0147,2,Frozen preferred
LIN-00351,REQ-00140,ITM-0109,3,Frozen preferred
LIN-00352,REQ-00140,ITM-0113,1,Frozen preferred
LIN-00353,REQ-00140,ITM-0114,1,Per client request
LIN-00354,REQ-00140,ITM-0138,4,
LIN-00355,REQ-00141,ITM-0113,1,
LIN-00356,REQ-00141,ITM-0057,5,Substitute if unavailable
LIN-00357,REQ-00141,ITM-0147,1,Substitute if unavailable
LIN-00358,REQ-00142,ITM-0041,2,Frozen preferred
LIN-00359,REQ-00142,ITM-0044,3,
LIN-00360,REQ-00142,ITM-0103,1,Extra portion
LIN-00361,REQ-00143,ITM-0037,2,Extra portion
LIN-00362,REQ-00144,ITM-0079,4,Frozen preferred
LIN-00363,REQ-00145,ITM-0009,5,
LIN-00364,REQ-00145,ITM-0008,4,
LIN-00365,REQ-00146,ITM-0115,4,Frozen preferred
LIN-00366,REQ-00146,ITM-0083,5,Substitute if unavailable
LIN-00367,REQ-00147,ITM-0030,4,
LIN-00368,REQ-00147,ITM-0107,2,
LIN-00369,REQ-00147,ITM-0040,4,Extra portion
LIN-00370,REQ-00148,ITM-0014,4,
LIN-00371,REQ-00149,ITM-0015,5,Substitute if unavailable
LIN-00372,REQ-00149,ITM-0006,5,Per client request
LIN-00373,REQ-00149,ITM-0006,1,Substitute if unavailable
LIN-00374,REQ-00149,ITM-0112,4,
LIN-00375,REQ-00150,ITM-0144,4,Per client request
LIN-00376,REQ-00150,ITM-0090,5,
LIN-00377,REQ-00150,ITM-0142,4,
LIN-00378,REQ-00151,ITM-0101,3,Substitute if unavailable
LIN-00379,REQ-00151,ITM-0103,5,
LIN-00380,REQ-00151,ITM-0115,2,
LIN-00381,REQ-00152,ITM-0129,1,DATA_QUALITY_ISSUE: allergen conflict
LIN-00382,REQ-00152,ITM-0007,2,Extra portion
LIN-00383,REQ-00152,ITM-0129,4,Frozen preferred
LIN-00384,REQ-00153,ITM-0021,4,Extra portion
LIN-00385,REQ-00153,ITM-0056,3,
LIN-00386,REQ-00153,ITM-0018,4,Extra portion
LIN-00387,REQ-00153,ITM-0001,3,Substitute if unavailable
LIN-00388,REQ-00154,ITM-0049,2,Per client request
LIN-00389,REQ-00154,ITM-0061,1,
LIN-00390,REQ-00155,ITM-0026,2,
LIN-00391,REQ-00155,ITM-0092,2,
LIN-00392,REQ-00155,ITM-0045,4,
LIN-00393,REQ-00155,ITM-0100,4,
LIN-00394,REQ-00156,ITM-0026,4,
LIN-00395,REQ-00156,ITM-0096,2,
LIN-00396,REQ-00157,ITM-0081,4,
LIN-00397,REQ-00157,ITM-0118,5,Frozen preferred
LIN-00398,REQ-00158,ITM-0098,3,
LIN-00399,REQ-00158,ITM-0092,5,Per client request
LIN-00400,REQ-00159,ITM-0007,2,Frozen preferred
LIN-00401,REQ-00159,ITM-0008,4,Frozen preferred
LIN-00402,REQ-00159,ITM-0062,4,Substitute if unavailable
LIN-00403,REQ-00160,ITM-0108,2,
LIN-00404,REQ-00161,ITM-0012,3,DATA_QUALITY_ISSUE: allergen conflict
LIN-00405,REQ-00161,ITM-0016,4,
LIN-00406,REQ-00161,ITM-0112,4,Substitute if unavailable
LIN-00407,REQ-00161,ITM-0012,1,Frozen preferred
LIN-00408,REQ-00162,ITM-0065,3,Substitute if unavailable
LIN-00409,REQ-00163,ITM-0096,5,
LIN-00410,REQ-00163,ITM-0036,1,Substitute if unavailable
LIN-00411,REQ-00163,ITM-0032,4,Extra portion
LIN-00412,REQ-00164,ITM-0146,4,Extra portion
LIN-00413,REQ-00164,ITM-0146,2,
LIN-00414,REQ-00165,ITM-0065,4,Extra portion
LIN-00415,REQ-00166,ITM-0130,3,Per client request
LIN-00416,REQ-00166,ITM-0138,5,
LIN-00417,REQ-00166,ITM-0111,5,
LIN-00418,REQ-00167,ITM-0056,3,Extra portion
LIN-00419,REQ-00167,ITM-0121,4,
LIN-00420,REQ-00168,ITM-0079,5,Per client request
LIN-00421,REQ-00168,ITM-0138,2,Extra portion
LIN-00422,REQ-00169,ITM-0080,2,Per client request
LIN-00423,REQ-00170,ITM-0141,1,Substitute if unavailable
LIN-00424,REQ-00171,ITM-0011,2,
LIN-00425,REQ-00172,ITM-0083,4,Frozen preferred
LIN-00426,REQ-00173,ITM-0077,3,
LIN-00427,REQ-00173,ITM-0112,5,Substitute if unavailable
LIN-00428,REQ-00174,ITM-0010,4,
LIN-00429,REQ-00174,ITM-0023,1,Frozen preferred
LIN-00430,REQ-00175,ITM-0062,2,Substitute if unavailable
LIN-00431,REQ-00175,ITM-0021,2,
LIN-00432,REQ-00175,ITM-0003,2,Substitute if unavailable
LIN-00433,REQ-00176,ITM-0011,3,Frozen preferred
LIN-00434,REQ-00177,ITM-0072,4,Per client request
LIN-00435,REQ-00177,ITM-0061,1,
LIN-00436,REQ-00177,ITM-0073,2,Per client request
LIN-00437,REQ-00178,ITM-0101,3,
LIN-00438,REQ-00178,ITM-0112,1,Frozen preferred
LIN-00439,REQ-00178,ITM-0024,5,Frozen preferred
LIN-00440,REQ-00179,ITM-0109,5,
LIN-00441,REQ-00179,ITM-0086,1,Substitute if unavailable
LIN-00442,REQ-00180,ITM-0028,2,
LIN-00443,REQ-00181,ITM-0003,3,Per client request
LIN-00444,REQ-00181,ITM-0006,5,Substitute if unavailable
LIN-00445,REQ-00181,ITM-0021,3,Frozen preferred
LIN-00446,REQ-00181,ITM-0001,3,Substitute if unavailable
LIN-00447,REQ-00182,ITM-0086,5,Extra portion
LIN-00448,REQ-00183,ITM-0126,2,Frozen preferred
LIN-00449,REQ-00183,ITM-0125,1,Per client request
LIN-00450,REQ-00184,ITM-0118,3,Extra portion
LIN-00451,REQ-00184,ITM-0131,5,Extra portion
LIN-00452,REQ-00184,ITM-0125,5,Substitute if unavailable
LIN-00453,REQ-00185,ITM-0088,4,
LIN-00454,REQ-00185,ITM-0076,5,Per client request
LIN-00455,REQ-00185,ITM-0110,5,Per client request
LIN-00456,REQ-00185,ITM-0044,4,
LIN-00457,REQ-00186,ITM-0084,1,
LIN-00458,REQ-00186,ITM-0027,5,Frozen preferred
LIN-00459,REQ-00186,ITM-0034,1,Substitute if unavailable
LIN-00460,REQ-00186,ITM-0044,5,
LIN-00461,REQ-00187,ITM-0110,5,Per client request
LIN-00462,REQ-00188,ITM-0023,3,
LIN-00463,REQ-00188,ITM-0109,1,Frozen preferred
LIN-00464,REQ-00189,ITM-0101,4,Extra portion
LIN-00465,REQ-00189,ITM-0081,3,Extra portion
LIN-00466,REQ-00189,ITM-0076,4,Extra portion
LIN-00467,REQ-00190,ITM-0113,4,
LIN-00468,REQ-00191,ITM-0038,3,Per client request
LIN-00469,REQ-00191,ITM-0030,5,Extra portion
LIN-00470,REQ-00191,ITM-0093,1,
LIN-00471,REQ-00192,ITM-0006,5,Per client request
LIN-00472,REQ-00192,ITM-0060,4,Substitute if unavailable
LIN-00473,REQ-00192,ITM-0114,3,
LIN-00474,REQ-00193,ITM-0029,1,Per client request
LIN-00475,REQ-00194,ITM-0093,1,Frozen preferred
LIN-00476,REQ-00194,ITM-0032,3,Extra portion
LIN-00477,REQ-00194,ITM-0109,4,
LIN-00478,REQ-00195,ITM-0001,1,
LIN-00479,REQ-00195,ITM-0005,5,
LIN-00480,REQ-00196,ITM-0095,1,Substitute if unavailable
LIN-00481,REQ-00196,ITM-0032,1,
LIN-00482,REQ-00196,ITM-0031,3,Substitute if unavailable
LIN-00483,REQ-00197,ITM-0137,3,Substitute if unavailable
LIN-00484,REQ-00198,ITM-0089,5,
LIN-00485,REQ-00198,ITM-0109,2,Substitute if unavailable
LIN-00486,REQ-00198,ITM-0045,1,
LIN-00487,REQ-00198,ITM-0033,1,
LIN-00488,REQ-00199,ITM-0047,1,Per client request
LIN-00489,REQ-00199,ITM-0073,2,Frozen preferred
LIN-00490,REQ-00199,ITM-0091,4,Per client request
LIN-00491,REQ-00200,ITM-0041,2,Substitute if unavailable
LIN-00492,REQ-00200,ITM-0031,2,
LIN-00493,REQ-00200,ITM-0035,3,Substitute if unavailable
LIN-00494,REQ-00200,ITM-0084,2,
LIN-00495,REQ-00201,ITM-0015,3,
LIN-00496,REQ-00201,ITM-0103,1,Extra portion
LIN-00497,REQ-00201,ITM-0056,5,
LIN-00498,REQ-00202,ITM-0112,3,Per client request
LIN-00499,REQ-00202,ITM-0083,4,Per client request
LIN-00500,REQ-00203,ITM-0106,5,
LIN-00501,REQ-00204,ITM-0104,5,
LIN-00502,REQ-00205,ITM-0103,5,
LIN-00503,REQ-00206,ITM-0071,4,
LIN-00504,REQ-00207,ITM-0012,5,
LIN-00505,REQ-00207,ITM-0020,4,
LIN-00506,REQ-00207,ITM-0003,5,Frozen preferred
