route_stop_id,route_id,request_id,client_id,sequence_index,planned_arrival,planned_departure,actual_arrival,actual_departure,wait_time_minutes,service_duration_minutes,distance_from_prev_km,travel_time_from_prev_minutes,status,failure_reason,left_at_door,signature_captured,driver_notes
STP-00022,RTE-0003,REQ-00172,CLI-0356,2,2026-03-31 08:27:00,2026-03-31 08:32:00,2026-03-31 08:44:00,2026-03-31 08:50:00,196,5,5.6,13,completed,,False,True,
STP-00023,RTE-0003,REQ-01542,CLI-0352,3,2026-03-31 08:47:00,2026-03-31 08:59:00,2026-03-31 09:54:00,2026-03-31 10:05:00,0,12,6.66,15,completed,,False,False,
STP-00024,RTE-0003,REQ-00367,CLI-0214,4,2026-03-31 09:04:00,2026-03-31 09:12:00,2026-03-31 13:28:00,2026-03-31 13:35:00,0,8,2.36,5,completed,,False,True,
STP-00025,RTE-0003,REQ-00601,CLI-0335,5,2026-03-31 09:31:00,2026-03-31 09:40:00,2026-03-31 13:57:00,2026-03-31 14:01:00,0,9,8.17,19,completed,,False,True,
STP-00026,RTE-0003,REQ-01215,CLI-0423,6,2026-03-31 10:03:00,2026-03-31 10:10:00,,,0,7,9.83,23,rerouted,time_window_slip,False,False,Client chatty today
STP-00027,RTE-0003,REQ-00394,CLI-0346,7,2026-03-31 10:15:00,2026-03-31 10:27:00,2026-03-31 14:08:00,2026-03-31 14:21:00,0,12,2.09,5,completed,,False,False,
STP-00028,RTE-0003,REQ-01069,CLI-0027,8,2026-03-31 10:47:00,2026-03-31 10:53:00,2026-03-31 10:09:00,2026-03-31 10:12:00,0,6,8.56,20,completed,,False,False,
STP-00029,RTE-0003,REQ-01405,CLI-0482,9,2026-03-31 11:01:00,2026-03-31 11:11:00,2026-03-31 10:22:00,2026-03-31 10:32:00,23,10,3.6,8,completed,,False,True,
STP-00030,RTE-0003,REQ-01572,CLI-0263,10,2026-03-31 11:15:00,2026-03-31 11:20:00,2026-03-31 10:34:00,2026-03-31 10:39:00,86,5,1.79,4,completed,,False,False,
STP-00031,RTE-0004,REQ-01818,CLI-0476,1,2026-04-06 08:52:00,2026-04-06 08:58:00,2026-04-06 08:57:00,2026-04-06 09:05:00,288,6,1.56,3,completed,,False,False,
STP-00032,RTE-0004,REQ-01144,CLI-0452,2,2026-04-06 09:00:00,2026-04-06 09:08:00,2026-04-06 09:43:00,2026-04-06 09:48:00,0,8,1.22,2,no_answer,building_locked,False,False,Left meal on counter
STP-00033,RTE-0004,REQ-01415,CLI-0440,3,2026-04-06 09:10:00,2026-04-06 09:16:00,2026-04-06 13:59:00,2026-04-06 14:02:00,0,6,0.55,2,completed,,False,True,
STP-00034,RTE-0004,REQ-00885,CLI-0221,4,2026-04-06 09:26:00,2026-04-06 09:35:00,2026-04-06 14:13:00,2026-04-06 14:22:00,0,9,4.24,10,completed,,False,False,
STP-00035,RTE-0004,REQ-01191,CLI-0203,5,2026-04-06 09:53:00,2026-04-06 10:01:00,,,0,8,7.71,18,skipped,weather,False,False,
STP-00036,RTE-0004,REQ-01601,CLI-0194,6,2026-04-06 10:05:00,2026-04-06 10:12:00,2026-04-06 14:27:00,2026-04-06 14:37:00,0,7,1.88,4,no_answer,no_answer_at_door,False,False,
STP-00037,RTE-0004,REQ-01490,CLI-0436,7,2026-04-06 10:25:00,2026-04-06 10:36:00,,,0,11,5.81,13,rerouted,time_window_slip,False,False,
STP-00038,RTE-0004,REQ-00028,CLI-0130,8,2026-04-06 10:38:00,2026-04-06 10:46:00,2026-04-06 14:39:00,2026-04-06 14:49:00,0,8,0.5,2,completed,,False,False,
STP-00039,RTE-0004,REQ-00883,CLI-0185,9,2026-04-06 10:48:00,2026-04-06 10:54:00,,,0,6,1.1,2,rerouted,time_window_slip,False,False,
STP-00040,RTE-0005,REQ-00452,CLI-0405,1,2026-04-04 08:32:00,2026-04-04 08:42:00,2026-04-04 08:30:00,2026-04-04 08:40:00,0,10,1.94,4,completed,,False,True,
STP-00041,RTE-0005,REQ-01764,CLI-0462,2,2026-04-04 08:44:00,2026-04-04 08:49:00,2026-04-04 08:43:00,2026-04-04 08:47:00,0,5,0.75,2,completed,,False,False,999
STP-00042,RTE-0005,REQ-01579,CLI-0461,3,2026-04-04 08:55:00,2026-04-04 09:01:00,2026-04-04 08:55:00,2026-04-04 09:02:00,20,6,2.69,6,completed,,False,True,
STP-00043,RTE-0005,REQ-00922,CLI-0406,4,2026-04-04 09:05:00,2026-04-04 09:10:00,2026-04-04 13:57:00,2026-04-04 14:00:00,0,5,2.02,4,completed,,False,False,
STP-00044,RTE-0005,REQ-00384,CLI-0029,5,2026-04-04 09:16:00,2026-04-04 09:22:00,2026-04-04 14:07:00,2026-04-04 14:13:00,0,6,2.83,6,completed,,False,True,Left meal on counter
STP-00045,RTE-0005,REQ-01899,CLI-0306,6,2026-04-04 09:24:00,2026-04-04 09:33:00,2026-04-04 14:14:00,2026-04-04 14:24:00,0,9,0.64,2,completed,,False,True,
STP-00046,RTE-0005,REQ-01482,CLI-0435,7,2026-04-04 09:42:00,2026-04-04 09:49:00,2026-04-04 10:00:00,2026-04-04 10:09:00,0,7,3.83,9,completed,,False,True,"Called ahead, no answer"
STP-00047,RTE-0005,REQ-01748,CLI-0135,8,2026-04-04 09:54:00,2026-04-04 10:03:00,2026-04-04 14:10:00,2026-04-04 14:24:00,0,9,2.35,5,completed,,False,True,
STP-00048,RTE-0005,REQ-01958,CLI-0096,9,2026-04-04 10:05:00,2026-04-04 10:20:00,2026-04-04 14:30:00,2026-04-04 14:45:00,0,15,0.56,2,completed,,False,False,
STP-00049,RTE-0005,REQ-01475,CLI-0299,10,2026-04-04 10:34:00,2026-04-04 10:40:00,,,0,6,5.86,14,skipped,requires_two_person_unavailable,False,False,
STP-00050,RTE-0005,REQ-01639,CLI-0391,11,2026-04-04 10:52:00,2026-04-04 11:05:00,,,0,13,5.04,12,cancelled,client_cancel,False,False,
STP-00051,RTE-0005,REQ-01402,CLI-0415,12,2026-04-04 11:12:00,2026-04-04 11:21:00,2026-04-04 09:17:00,2026-04-04 09:24:00,0,9,3.04,7,completed,,True,False,
STP-00052,RTE-0005,REQ-00666,CLI-0114,13,2026-04-04 11:25:00,2026-04-04 11:33:00,2026-04-04 09:33:00,2026-04-04 09:40:00,252,8,1.68,4,completed,,False,False,
STP-00053,RTE-0005,REQ-00288,CLI-0154,14,2026-04-04 11:44:00,2026-04-04 11:53:00,2026-04-04 13:45:00,2026-04-04 13:50:00,0,9,4.78,11,completed,,False,False,
STP-00054,RTE-0005,REQ-01906,CLI-0472,15,2026-04-04 11:55:00,2026-04-04 12:04:00,,,0,9,1.01,2,skipped,time_budget_exceeded,False,False,
STP-00055,RTE-0005,REQ-01090,CLI-0015,16,2026-04-04 12:10:00,2026-04-04 12:17:00,2026-04-04 10:41:00,2026-04-04 10:46:00,0,7,2.66,6,completed,,False,False,
STP-00056,RTE-0005,REQ-00714,CLI-0031,17,2026-04-04 12:28:00,2026-04-04 12:36:00,2026-04-04 10:56:00,2026-04-04 11:03:00,0,8,4.92,11,completed,,False,True,Left meal on counter
STP-00057,RTE-0005,REQ-00362,CLI-0233,18,2026-04-04 12:42:00,2026-04-04 12:53:00,,,0,11,2.79,6,rerouted,wrong_vehicle_type,False,False,
STP-00058,RTE-0005,REQ-00955,CLI-0302,19,2026-04-04 12:57:00,2026-04-04 13:04:00,2026-04-04 11:10:00,2026-04-04 11:15:00,0,7,1.67,4,completed,,True,False,
STP-00059,RTE-0005,REQ-01271,CLI-0190,20,2026-04-04 13:13:00,2026-04-04 13:23:00,,,0,10,3.95,9,skipped,client_not_home_preknown,False,False,
STP-00060,RTE-0005,REQ-00903,CLI-0054,21,2026-04-04 13:28:00,2026-04-04 13:36:00,2026-04-04 11:27:00,2026-04-04 11:35:00,0,8,2.38,5,completed,,False,False,
STP-00061,RTE-0005,REQ-00006,CLI-0115,22,2026-04-04 13:39:00,2026-04-04 13:46:00,2026-04-04 14:11:00,2026-04-04 14:16:00,0,7,1.6,3,completed,,False,False,
STP-00062,RTE-0005,REQ-01951,CLI-0447,23,2026-04-04 13:49:00,2026-04-04 13:54:00,2026-04-04 14:24:00,2026-04-04 14:31:00,0,5,1.43,3,completed,,False,True,
STP-00063,RTE-0006,REQ-00775,CLI-0218,1,2026-04-02 09:19:00,2026-04-02 09:28:00,2026-04-02 09:17:00,2026-04-02 09:26:00,0,9,1.47,3,completed,,False,True,
STP-00064,RTE-0006,REQ-01375,CLI-0403,2,2026-04-02 09:35:00,2026-04-02 09:46:00,2026-04-02 09:28:00,2026-04-02 09:38:00,0,11,3.28,7,completed,,False,True,
STP-00065,RTE-0006,REQ-00236,CLI-0121,3,2026-04-02 09:48:00,2026-04-02 09:57:00,2026-04-02 12:01:00,2026-04-02 12:09:00,0,9,0.47,2,completed,,False,True,
STP-00066,RTE-0006,REQ-00187,CLI-0029,4,2026-04-02 10:07:00,2026-04-02 10:16:00,2026-04-02 14:26:00,2026-04-02 14:35:00,0,9,4.56,10,no_answer,buzzer_failed,False,False,
STP-00067,RTE-0006,REQ-01025,CLI-0126,5,2026-04-02 10:18:00,2026-04-02 10:30:00,2026-04-02 11:10:00,2026-04-02 11:23:00,0,12,0.56,2,no_answer,no_answer_at_door,False,False,
STP-00068,RTE-0006,REQ-00982,CLI-0041,6,2026-04-02 10:41:00,2026-04-02 10:50:00,2026-04-02 11:35:00,2026-04-02 11:42:00,0,9,4.96,11,completed,,False,True,"Called ahead, no answer"
STP-00069,RTE-0006,REQ-00372,CLI-0296,7,2026-04-02 11:02:00,2026-04-02 11:11:00,,,0,9,5.06,12,rerouted,wrong_vehicle_type,False,False,
STP-00070,RTE-0006,REQ-00614,CLI-0044,8,2026-04-02 11:20:00,2026-04-02 11:25:00,2026-04-02 11:48:00,2026-04-02 11:51:00,0,5,3.99,9,completed,,False,True,
STP-00071,RTE-0006,REQ-00357,CLI-0025,9,2026-04-02 11:27:00,2026-04-02 11:34:00,2026-04-02 11:52:00,2026-04-02 11:58:00,8,7,1.21,2,completed,,False,True,
STP-00072,RTE-0006,REQ-01166,CLI-0170,10,2026-04-02 11:47:00,2026-04-02 12:01:00,2026-04-02 12:13:00,2026-04-02 12:24:00,0,14,5.42,13,completed,,False,True,
STP-00073,RTE-0006,REQ-01410,CLI-0444,11,2026-04-02 12:04:00,2026-04-02 12:11:00,2026-04-02 10:33:00,2026-04-02 10:38:00,0,7,1.34,3,completed,,False,False,
STP-00074,RTE-0006,REQ-00287,CLI-0128,12,2026-04-02 12:19:00,2026-04-02 12:26:00,2026-04-02 13:00:00,2026-04-02 13:06:00,0,7,3.57,8,completed,,False,True,
STP-00075,RTE-0006,REQ-00346,CLI-0128,13,2026-04-02 12:28:00,2026-04-02 12:36:00,2026-04-02 13:10:00,2026-04-02 13:19:00,0,8,0.0,2,completed,,False,True,
STP-00076,RTE-0006,REQ-00902,CLI-0186,14,2026-04-02 12:42:00,2026-04-02 12:49:00,2026-04-02 13:23:00,2026-04-02 13:30:00,0,7,2.51,6,completed,,False,False,
STP-00077,RTE-0006,REQ-01086,CLI-0289,15,2026-04-02 12:55:00,2026-04-02 13:04:00,2026-04-02 13:38:00,2026-04-02 13:47:00,0,9,2.78,6,completed,,False,True,
STP-00078,RTE-0006,REQ-01829,CLI-0390,16,2026-04-02 13:12:00,2026-04-02 13:19:00,2026-04-02 10:07:00,2026-04-02 10:15:00,0,7,3.64,8,completed,,False,False,
STP-00079,RTE-0006,REQ-01023,CLI-0224,17,2026-04-02 13:24:00,2026-04-02 13:31:00,2026-04-02 08:19:00,2026-04-02 08:25:00,0,7,2.23,5,completed,,False,True,
STP-00080,RTE-0006,REQ-01971,CLI-0335,18,2026-04-02 13:47:00,2026-04-02 13:56:00,2026-04-02 10:37:00,2026-04-02 10:46:00,0,9,6.81,16,completed,,False,True,
STP-00081,RTE-0006,REQ-01965,CLI-0184,19,2026-04-02 14:03:00,2026-04-02 14:12:00,2026-04-02 10:49:00,2026-04-02 10:57:00,0,9,3.06,7,completed,,False,True,
STP-00082,RTE-0006,REQ-01861,CLI-0230,20,2026-04-02 14:36:00,2026-04-02 14:43:00,2026-04-02 11:21:00,2026-04-02 11:28:00,0,7,10.2,24,completed,,False,True,
STP-00083,RTE-0006,REQ-01701,CLI-0079,21,2026-04-02 14:50:00,2026-04-02 14:58:00,2026-04-02 13:23:00,2026-04-02 13:29:00,0,8,3.12,7,completed,,False,True,Client chatty today
STP-00084,RTE-0006,REQ-01083,CLI-0197,22,2026-04-02 15:20:00,2026-04-02 15:27:00,2026-04-02 11:38:00,2026-04-02 11:41:00,0,7,9.55,22,completed,,False,True,
STP-00085,RTE-0006,REQ-01812,CLI-0165,23,2026-04-02 15:50:00,2026-04-02 15:58:00,,,0,8,9.95,23,skipped,time_budget_exceeded,False,False,
STP-00086,RTE-0006,REQ-01530,CLI-0465,24,2026-04-02 16:14:00,2026-04-02 16:19:00,2026-04-02 11:59:00,2026-04-02 12:03:00,0,5,6.85,16,completed,,False,False,
STP-00087,RTE-0006,REQ-01920,CLI-0082,25,2026-04-02 16:24:00,2026-04-02 16:30:00,2026-04-02 13:19:00,2026-04-02 13:27:00,0,6,2.45,5,completed,,True,False,
STP-00088,RTE-0006,REQ-01429,CLI-0447,26,2026-04-02 16:34:00,2026-04-02 16:41:00,2026-04-02 13:31:00,2026-04-02 13:39:00,0,7,2.02,4,completed,,False,True,
STP-00089,RTE-0007,REQ-00544,CLI-0493,1,2026-04-10 08:29:00,2026-04-10 08:40:00,2026-04-10 08:39:00,2026-04-10 08:51:00,0,11,0.94,2,completed,,False,True,
STP-00090,RTE-0007,REQ-01367,CLI-0104,2,2026-04-10 08:42:00,2026-04-10 08:49:00,2026-04-10 12:09:00,2026-04-10 12:18:00,0,7,0.59,2,completed,,False,False,Delivered to neighbor per instructions
STP-00091,RTE-0007,REQ-00072,CLI-0198,3,2026-04-10 08:51:00,2026-04-10 09:02:00,2026-04-10 12:23:00,2026-04-10 12:34:00,0,11,0.93,2,completed,,True,False,
STP-00092,RTE-0007,REQ-01383,CLI-0010,4,2026-04-10 09:08:00,2026-04-10 09:21:00,2026-04-10 12:43:00,2026-04-10 12:56:00,0,13,2.59,6,completed,,False,True,
STP-00093,RTE-0007,REQ-00831,CLI-0088,5,2026-04-10 09:29:00,2026-04-10 09:34:00,2026-04-10 13:09:00,2026-04-10 13:12:00,0,5,3.59,8,completed,,False,True,
STP-00094,RTE-0007,REQ-00128,CLI-0088,6,2026-04-10 09:36:00,2026-04-10 09:42:00,2026-04-10 10:56:00,2026-04-10 11:01:00,0,6,0.0,2,completed,,True,False,
STP-00095,RTE-0007,REQ-01076,CLI-0467,7,2026-04-10 09:55:00,2026-04-10 10:01:00,2026-04-10 14:38:00,2026-04-10 14:45:00,0,6,5.5,13,completed,,False,False,
STP-00096,RTE-0007,REQ-00745,CLI-0407,8,2026-04-10 10:03:00,2026-04-10 10:12:00,2026-04-10 14:52:00,2026-04-10 15:03:00,0,9,1.13,2,completed,,False,False,
STP-00097,RTE-0007,REQ-00492,CLI-0170,9,2026-04-10 10:14:00,2026-04-10 10:25:00,2026-04-10 15:08:00,2026-04-10 15:18:00,0,11,0.89,2,completed,,False,True,
STP-00098,RTE-0007,REQ-01693,CLI-0288,10,2026-04-10 10:39:00,2026-04-10 10:49:00,2026-04-10 15:40:00,2026-04-10 15:49:00,0,10,6.12,14,completed,,False,True,"Called ahead, no answer"
STP-00099,RTE-0007,REQ-01217,CLI-0412,11,2026-04-10 10:51:00,2026-04-10 10:57:00,,,0,6,0.92,2,skipped,client_not_home_preknown,False,False,
STP-00100,RTE-0007,REQ-00928,CLI-0383,12,2026-04-10 11:14:00,2026-04-10 11:22:00,,,0,8,7.28,17,skipped,client_not_home_preknown,False,False,
STP-00101,RTE-0007,REQ-00313,CLI-0383,13,2026-04-10 11:24:00,2026-04-10 11:34:00,2026-04-10 10:30:00,2026-04-10 10:40:00,0,10,0.0,2,completed,,False,True,
STP-00102,RTE-0007,REQ-01480,CLI-0222,14,2026-04-10 11:39:00,2026-04-10 11:45:00,2026-04-10 13:57:00,2026-04-10 14:04:00,0,6,2.39,5,completed,,False,True,
STP-00103,RTE-0007,REQ-00750,CLI-0007,15,2026-04-10 11:48:00,2026-04-10 11:53:00,,,0,5,1.62,3,skipped,weather,False,False,"Called ahead, no answer"
STP-00104,RTE-0007,REQ-01208,CLI-0299,16,2026-04-10 12:03:00,2026-04-10 12:09:00,2026-04-10 10:53:00,2026-04-10 10:56:00,0,6,4.52,10,completed,,False,True,
STP-00105,RTE-0007,REQ-01603,CLI-0321,17,2026-04-10 12:17:00,2026-04-10 12:23:00,,,0,6,3.4,8,skipped,client_not_home_preknown,False,False,
STP-00106,RTE-0007,REQ-01471,CLI-0330,18,2026-04-10 12:45:00,2026-04-10 12:55:00,2026-04-10 10:34:00,2026-04-10 10:39:00,0,10,9.54,22,completed,,False,True,
STP-00107,RTE-0007,REQ-01387,CLI-0495,19,2026-04-10 12:57:00,2026-04-10 13:08:00,,,0,11,0.82,2,cancelled,route_cancelled,False,False,"Client using walker, door ajar"
STP-00108,RTE-0007,REQ-01615,CLI-0249,20,2026-04-10 13:33:00,2026-04-10 13:40:00,,,0,7,10.49,25,skipped,client_not_home_preknown,False,False,
STP-00109,RTE-0007,REQ-00722,CLI-0224,21,2026-04-10 13:58:00,2026-04-10 14:03:00,2026-04-10 11:05:00,2026-04-10 11:08:00,0,5,7.84,18,completed,,False,True,
STP-00110,RTE-0007,REQ-01229,CLI-0147,22,2026-04-10 14:16:00,2026-04-10 14:26:00,2026-04-10 09:22:00,2026-04-10 09:29:00,0,10,5.44,13,completed,,False,False,
STP-00111,RTE-0007,REQ-01107,CLI-0357,23,2026-04-10 14:50:00,2026-04-10 14:59:00,2026-04-10 12:24:00,2026-04-10 12:31:00,0,9,10.24,24,completed,,True,False,
STP-00112,RTE-0007,REQ-01449,CLI-0145,24,2026-04-10 15:22:00,2026-04-10 15:33:00,2026-04-10 08:41:00,2026-04-10 08:51:00,0,11,9.73,23,completed,,False,True,
STP-00113,RTE-0007,REQ-00867,CLI-0266,25,2026-04-10 15:46:00,2026-04-10 15:54:00,2026-04-10 13:29:00,2026-04-10 13:36:00,0,8,5.57,13,no_answer,building_locked,False,False,Left meal on counter
STP-00114,RTE-0007,REQ-00879,CLI-0226,26,2026-04-10 15:58:00,2026-04-10 16:05:00,2026-04-10 12:28:00,2026-04-10 12:37:00,0,7,1.91,4,completed,,False,False,
STP-00115,RTE-0007,REQ-00748,CLI-0050,27,2026-04-10 16:15:00,2026-04-10 16:21:00,2026-04-10 11:51:00,2026-04-10 11:57:00,0,6,4.58,10,completed,,False,False,
STP-00116,RTE-0007,REQ-01626,CLI-0070,28,2026-04-10 16:30:00,2026-04-10 16:40:00,2026-04-10 12:10:00,2026-04-10 12:20:00,0,10,3.88,9,no_answer,buzzer_failed,False,False,
STP-00117,RTE-0007,REQ-00476,CLI-0286,29,2026-04-10 16:56:00,2026-04-10 17:03:00,,,0,7,7.0,16,rerouted,time_window_slip,False,False,Delivered to neighbor per instructions
STP-00118,RTE-0007,REQ-00677,CLI-0064,30,2026-04-10 17:06:00,2026-04-10 17:11:00,2026-04-10 15:25:00,2026-04-10 15:31:00,0,5,1.49,3,completed,,False,True,Client chatty today
STP-00119,RTE-0007,REQ-01871,CLI-0294,31,2026-04-10 17:30:00,2026-04-10 17:35:00,2026-04-10 10:04:00,2026-04-10 10:07:00,0,5,8.22,19,completed,,False,False,
STP-00120,RTE-0008,REQ-00165,CLI-0084,1,2026-04-15 08:24:00,2026-04-15 08:34:00,2026-04-15 12:16:00,2026-04-15 12:28:00,0,10,2.22,5,completed,,False,True,
STP-00121,RTE-0008,REQ-00036,CLI-0133,2,2026-04-15 08:43:00,2026-04-15 08:48:00,2026-04-15 10:50:00,2026-04-15 10:54:00,0,5,3.87,9,completed,,False,True,
STP-00122,RTE-0008,REQ-01950,CLI-0470,3,2026-04-15 08:52:00,2026-04-15 08:59:00,,,0,7,1.88,4,skipped,client_not_home_preknown,False,False,
STP-00123,RTE-0008,REQ-01538,CLI-0367,4,2026-04-15 09:02:00,2026-04-15 09:08:00,2026-04-15 14:43:00,2026-04-15 14:50:00,0,6,1.56,3,completed,,False,False,
STP-00124,RTE-0008,REQ-01555,CLI-0037,5,2026-04-15 09:17:00,2026-04-15 09:24:00,2026-04-15 10:32:00,2026-04-15 10:36:00,0,7,4.07,9,completed,,False,False,"Client using walker, door ajar"
STP-00125,RTE-0008,REQ-00734,CLI-0006,6,2026-04-15 09:26:00,2026-04-15 09:31:00,2026-04-15 14:17:00,2026-04-15 14:20:00,0,5,1.08,2,completed,,False,True,
STP-00126,RTE-0008,REQ-01741,CLI-0242,7,2026-04-15 09:38:00,2026-04-15 09:45:00,2026-04-15 09:48:00,2026-04-15 09:56:00,0,7,3.24,7,no_answer,building_locked,False,False,
STP-00127,RTE-0008,REQ-00225,CLI-0297,8,2026-04-15 10:04:00,2026-04-15 10:10:00,2026-04-15 10:37:00,2026-04-15 10:43:00,0,6,8.18,19,no_answer,no_answer_at_door,False,False,
STP-00128,RTE-0009,REQ-00818,CLI-0166,1,2026-03-29 08:09:00,2026-03-29 08:19:00,2026-03-29 10:30:00,2026-03-29 10:38:00,0,10,0.21,2,completed,,False,True,"Client using walker, door ajar"
STP-00129,RTE-0009,REQ-01385,CLI-0352,2,2026-03-29 08:21:00,2026-03-29 08:30:00,2026-03-29 13:36:00,2026-03-29 13:43:00,0,9,0.9,2,completed,,True,False,
STP-00130,RTE-0009,REQ-01136,CLI-0424,3,2026-03-29 08:33:00,2026-03-29 08:43:00,,,0,10,1.44,3,cancelled,route_cancelled,False,False,
STP-00131,RTE-0009,REQ-01323,CLI-0150,4,2026-03-29 08:45:00,2026-03-29 08:52:00,2026-03-29 13:43:00,2026-03-29 13:52:00,0,7,0.39,2,no_answer,no_answer_at_door,False,False,
STP-00132,RTE-0009,REQ-00674,CLI-0084,5,2026-03-29 09:00:00,2026-03-29 09:07:00,,,0,7,3.75,8,cancelled,client_cancel,False,False,
STP-00133,RTE-0009,REQ-00013,CLI-0066,6,2026-03-29 09:11:00,2026-03-29 09:19:00,2026-03-29 10:23:00,2026-03-29 10:28:00,0,8,1.94,4,completed,,False,False,
STP-00134,RTE-0009,REQ-00296,CLI-0194,7,2026-03-29 09:21:00,2026-03-29 09:27:00,2026-03-29 10:29:00,2026-03-29 10:38:00,0,6,0.86,2,completed,,False,False,"Client using walker, door ajar"
STP-00135,RTE-0009,REQ-01258,CLI-0229,8,2026-03-29 09:40:00,2026-03-29 09:49:00,2026-03-29 13:40:00,2026-03-29 13:47:00,0,9,5.82,13,completed,,False,True,
STP-00136,RTE-0009,REQ-01744,CLI-0239,9,2026-03-29 09:54:00,2026-03-29 10:04:00,2026-03-29 13:46:00,2026-03-29 13:57:00,0,10,2.43,5,completed,,False,False,
STP-00137,RTE-0009,REQ-00107,CLI-0165,10,2026-03-29 10:19:00,2026-03-29 10:31:00,2026-03-29 14:14:00,2026-03-29 14:25:00,0,12,6.42,15,completed,,False,True,"Client using walker, door ajar"
STP-00138,RTE-0009,REQ-00339,CLI-0467,11,2026-03-29 10:48:00,2026-03-29 10:57:00,,,0,9,7.28,17,cancelled,route_cancelled,False,False,
STP-00139,RTE-0009,REQ-00447,CLI-0436,12,2026-03-29 11:13:00,2026-03-29 11:21:00,2026-03-29 14:40:00,2026-03-29 14:49:00,0,8,6.74,16,completed,,False,True,Client chatty today
