request_id,client_id,created_at,scheduled_date,time_window_start,time_window_end,service_duration_minutes,quantity_meals,quantity_boxes,cold_chain_required,priority_level,frequency,program_type,funding_stream,status,status_reason,assigned_route_id,assigned_stop_sequence,required_driver_skills,flexibility_flags,dietary_tags_snapshot,mobility_tags_snapshot
,CLI-0499,2026-04-14 16:03:00,2026-04-15,11:15:00,13:15:00,5,7,1,False,routine,biweekly,grocery_hamper,municipal,cancelled,no_longer_needed,,,,flexible_window,,assistance_at_door;low_vision
REQ-00016,CLI-0460,2026-04-04 10:45:00,2026-04-09,08:15:00,11:15:00,6,4,2,True,routine,weekly,MOW_hot,client_pay,completed,,RTE-0108,7,refrigerated_vehicle,flexible_window,heart_healthy;pureed,
REQ-00017,CLI-0166,2026-03-26 07:59:00,2026-03-30,08:45:00,10:15:00,5,7,0,True,routine,monthly,MOW_frozen,private_donations,completed,,RTE-0152,2,refrigerated_vehicle;two_person,flexible_window,low_sodium;minced;lactose_free,assistance_at_door;low_vision
REQ-00018,CLI-0191,2026-03-29 11:43:00,2026-03-31,10:30:00,12:30:00,8,1,0,True,routine,weekly,MOW_hot,private_donations,no_answer,buzzer_failed,RTE-0182,2,refrigerated_vehicle,flexible_window,minced,
REQ-00019,CLI-0262,2026-03-22 08:03:00,2026-03-25,09:00:00,10:30:00,5,4,1,False,routine,weekly,grocery_hamper,private_donations,completed,,,,lang_Mandarin;wheelchair,,low_sodium;halal,wheelchair;walker
REQ-00020,CLI-0085,2026-03-24 10:42:00,2026-03-25,12:15:00,13:45:00,5,2,0,False,urgent,one_time,emergency_box,United_Way,completed,,RTE-0183,9,,flexible_day;can_leave_at_door,diabetic_friendly;halal,low_vision
REQ-00021,CLI-0247,2026-04-03 13:58:00,2026-04-06,11:00:00,12:00:00,11,4,1,True,routine,weekly,MOW_frozen,private_donations,completed,,RTE-0045,17,no_pet_allergy;refrigerated_vehicle;wheelchair,,soft;gluten_free,wheelchair;walker
REQ-00022,CLI-0335,2026-04-08 16:26:00,2026-04-09,09:00:00,12:00:00,7,2,0,True,routine,weekly,MOW_frozen,Island_Health,completed,,RTE-0023,11,refrigerated_vehicle,can_leave_at_door,diabetic_friendly,assistance_at_door
REQ-00023,CLI-0116,2026-04-13 12:54:00,2026-04-15,10:30:00,13:30:00,8,3,1,True,routine,weekly,MOW_frozen,United_Way,completed,,RTE-0119,23,refrigerated_vehicle,,low_sodium;pureed,walker
REQ-00024,CLI-0011,2026-04-03 18:51:00,2026-04-06,12:00:00,15:00:00,5,6,0,True,routine,weekly,MOW_hot,Island_Health,cancelled,weather,,,no_pet_allergy;refrigerated_vehicle;wheelchair,flexible_day,soft,wheelchair
REQ-00025,CLI-0443,2026-03-31 15:06:00,2026-04-05,09:45:00,11:15:00,6,5,0,False,routine,one_time,emergency_box,client_pay,no_answer,no_answer_at_door,RTE-0077,4,,,low_sodium;vegetarian,assistance_at_door
REQ-00026,CLI-0071,2026-04-02 12:50:00,2026-04-04,08:15:00,09:45:00,8,1,0,False,routine,weekly,grocery_hamper,United_Way,completed,,,,lang_Punjabi,flexible_window,low_sodium,
REQ-00027,CLI-0119,2026-03-28 14:14:00,2026-03-31,12:30:00,14:00:00,5,6,1,True,routine,weekly,MOW_frozen,Island_Health,completed,,RTE-0178,20,refrigerated_vehicle,,,cane;assistance_at_door;low_vision
REQ-00028,CLI-0130,2026-04-01 09:49:00,2026-04-06,13:30:00,14:30:00,8,1,1,False,urgent,biweekly,grocery_hamper,Island_Health,completed,,RTE-0004,8,,flexible_window,,
REQ-00029,CLI-0488,2026-04-09 17:30:00,2026-04-14,12:00:00,13:30:00,6,3,1,False,routine,weekly,culturally_specific,United_Way,completed,,RTE-0027,1,lang_Mandarin,flexible_day,vegan,assistance_at_door
REQ-00030,CLI-0257,2026-04-07 20:36:00,2026-04-08,10:00:00,11:30:00,7,3,2,True,routine,weekly,grocery_hamper,municipal,completed,,RTE-0269,17,no_pet_allergy;refrigerated_vehicle,,diabetic_friendly;renal,
REQ-00031,CLI-0123,2026-04-04 14:16:00,2026-04-08,08:45:00,11:45:00,6,4,0,False,routine,one_time,grocery_hamper,United_Way,no_answer,building_locked,RTE-0028,2,,,lactose_free,
REQ-00032,CLI-0233,2026-04-13 19:05:00,2026-04-15,13:45:00,15:15:00,12,1,0,True,routine,weekly,MOW_hot,private_donations,completed,,RTE-0185,4,refrigerated_vehicle,flexible_window,,hard_of_hearing
REQ-00033,CLI-0136,2026-04-03 18:00:00,2026-04-04,10:30:00,11:30:00,7,5,0,False,routine,biweekly,culturally_specific,private_donations,completed,,RTE-0056,21,wheelchair,,diabetic_friendly;low_sodium;minced,wheelchair
REQ-00034,CLI-0433,2026-03-21 06:29:00,2026-03-25,12:30:00,14:30:00,5,7,0,True,routine,monthly,grocery_hamper,municipal,completed,,,,refrigerated_vehicle,,diabetic_friendly,walker;cane
REQ-00035,CLI-0180,2026-04-04 13:09:00,2026-04-07,12:45:00,14:15:00,10,2,0,True,routine,weekly,MOW_frozen,client_pay,completed,,,,lang_Punjabi;refrigerated_vehicle;two_person,,low_sodium,
REQ-00036,CLI-0133,2026-04-11 14:54:00,2026-04-15,10:45:00,11:45:00,5,7,0,False,routine,monthly,grocery_hamper,municipal,completed,,RTE-0008,2,lang_French,flexible_window,,
REQ-00037,CLI-0401,2026-03-24 15:49:00,2026-03-25,11:45:00,14:45:00,8,4,1,True,routine,one_time,MOW_frozen,municipal,completed,,,,refrigerated_vehicle,flexible_window,pureed,assistance_at_door
REQ-00038,CLI-0095,2026-04-07 16:50:00,2026-04-08,08:00:00,11:00:00,5,7,0,True,routine,weekly,MOW_hot,Island_Health,completed,,,,lang_Mandarin;no_pet_allergy;refrigerated_vehicle,flexible_window,low_sodium;heart_healthy;vegan,walker
REQ-00039,CLI-0470,2026-03-27 09:10:00,2026-03-30,09:15:00,10:45:00,5,1,1,True,routine,one_time,MOW_hot,Island_Health,pending,,,,no_pet_allergy;refrigerated_vehicle,can_leave_at_door,diabetic_friendly,
,CLI-0435,2026-04-01 10:45:00,2026-04-06,09:00:00,12:00:00,8,5,0,True,routine,weekly,MOW_hot,United_Way,completed,,RTE-0016,7,refrigerated_vehicle,flexible_day,,assistance_at_door
REQ-00041,CLI-0125,2026-04-08 06:50:00,2026-04-09,11:30:00,13:30:00,9,5,1,True,routine,weekly,MOW_frozen,client_pay,completed,,,,lang_Mandarin;no_pet_allergy;refrigerated_vehicle,flexible_window,gluten_free,cane
REQ-00042,CLI-0410,2026-03-22 08:23:00,2026-03-25,10:30:00,12:00:00,8,5,1,True,urgent,weekly,MOW_hot,client_pay,cancelled,no_longer_needed,,,refrigerated_vehicle,flexible_window;flexible_day,,assistance_at_door
REQ-00043,CLI-0498,2026-04-02 14:40:00,2026-04-07,11:45:00,12:45:00,7,6,0,True,routine,one_time,MOW_hot,Island_Health,completed,,RTE-0019,23,refrigerated_vehicle,flexible_day,low_sodium,
REQ-00044,CLI-0319,2026-03-30 12:26:00,2026-04-04,09:15:00,12:15:00,7,5,0,True,urgent,weekly,MOW_frozen,Island_Health,completed,,RTE-0056,3,refrigerated_vehicle;wheelchair,flexible_window,,wheelchair;walker
REQ-00045,CLI-0291,2026-04-01 08:36:00,2026-04-05,08:45:00,11:45:00,5,3,0,True,routine,biweekly,MOW_frozen,municipal,completed,,RTE-0078,4,refrigerated_vehicle,flexible_day;can_leave_at_door,diabetic_friendly;soft;vegetarian,assistance_at_door
REQ-00046,CLI-0022,2026-03-25 13:19:00,2026-03-30,10:00:00,11:30:00,6,1,0,True,routine,biweekly,MOW_hot,Island_Health,completed,,RTE-0152,5,refrigerated_vehicle,,diabetic_friendly,
REQ-00047,CLI-0204,2026-03-28 13:39:00,2026-04-02,09:00:00,10:00:00,6,7,1,True,routine,weekly,MOW_frozen,private_donations,pending,,,,refrigerated_vehicle,flexible_window;flexible_day,gluten_free;vegan,
REQ-00048,CLI-0293,2026-04-05 10:10:00,2026-04-08,08:15:00,11:15:00,10,1,0,False,routine,biweekly,culturally_specific,client_pay,completed,,,,lang_Vietnamese,flexible_window,low_sodium;heart_healthy;minced,
REQ-00049,CLI-0488,2026-04-07 20:15:00,2026-04-09,13:15:00,16:15:00,8,5,1,True,routine,one_time,MOW_hot,Island_Health,completed,,,,lang_Mandarin;refrigerated_vehicle,,vegan,assistance_at_door
REQ-00050,CLI-0039,2026-03-28 11:32:00,2026-04-02,13:00:00,16:00:00,5,1,0,True,routine,weekly,MOW_hot,municipal,completed,,RTE-0013,10,refrigerated_vehicle,flexible_day,,assistance_at_door
REQ-00051,CLI-0180,2026-03-22 08:02:00,2026-03-27,08:15:00,10:15:00,8,2,0,False,routine,one_time,grocery_hamper,Island_Health,completed,,,,lang_Punjabi;two_person,flexible_window,low_sodium,
REQ-00052,CLI-0083,2026-04-11 11:34:00,2026-04-12,13:30:00,15:30:00,7,7,0,True,routine,weekly,MOW_frozen,United_Way,completed,,RTE-0069,11,refrigerated_vehicle,flexible_window;flexible_day,vegetarian,walker;assistance_at_door
REQ-00053,CLI-0172,2026-04-05 17:54:00,2026-04-08,08:30:00,10:00:00,6,3,1,True,routine,weekly,MOW_frozen,United_Way,completed,,,,refrigerated_vehicle;two_person;wheelchair,flexible_window,,wheelchair;bedbound;assistance_at_door
REQ-00054,CLI-0036,2026-03-27 16:36:00,2026-03-30,11:45:00,13:15:00,9,7,2,True,routine,weekly,MOW_frozen,private_donations,completed,,,,lang_Cantonese;refrigerated_vehicle,flexible_window,heart_healthy,walker;bedbound;assistance_at_door;low_vision
REQ-00055,CLI-0176,2026-03-29 20:29:00,2026-04-03,12:45:00,14:15:00,10,5,2,True,routine,weekly,MOW_hot,United_Way,completed,,RTE-0042,22,refrigerated_vehicle;two_person,flexible_window,diabetic_friendly,walker;assistance_at_door
REQ-00056,CLI-0332,2026-03-24 15:58:00,2026-03-26,12:00:00,13:30:00,10,3,2,True,routine,one_time,MOW_frozen,United_Way,completed,,RTE-0212,5,no_pet_allergy;refrigerated_vehicle,,low_sodium;pureed;minced;lactose_free,hard_of_hearing
REQ-00057,CLI-0291,2026-04-02 15:04:00,2026-04-03,11:30:00,14:30:00,5,2,0,True,urgent,weekly,MOW_hot,private_donations,cancelled,duplicate_request,,,refrigerated_vehicle,flexible_window;can_leave_at_door,diabetic_friendly;soft;vegetarian,assistance_at_door
REQ-00058,CLI-0017,2026-03-28 18:38:00,2026-04-01,09:00:00,10:00:00,7,6,2,False,routine,one_time,culturally_specific,Island_Health,completed,,RTE-0011,9,,flexible_day,heart_healthy;soft,assistance_at_door
REQ-00059,CLI-0386,2026-04-06 19:11:00,2026-04-08,11:30:00,12:30:00,8,3,0,False,routine,monthly,culturally_specific,Island_Health,pending,,,,lang_Tagalog;no_pet_allergy;two_person,flexible_window,diabetic_friendly;low_sodium,bedbound
REQ-00060,CLI-0409,2026-03-30 11:39:00,2026-04-01,12:30:00,15:30:00,10,7,0,True,routine,one_time,MOW_hot,private_donations,completed,,RTE-0011,17,refrigerated_vehicle,,,walker;assistance_at_door
REQ-00061,CLI-0467,2026-04-05 18:59:00,2026-04-09,08:30:00,10:00:00,6,7,1,True,routine,one_time,grocery_hamper,United_Way,completed,,RTE-0108,4,refrigerated_vehicle,flexible_window;can_leave_at_door,,
REQ-00062,CLI-0104,2026-03-24 15:01:00,2026-03-29,12:00:00,13:00:00,7,4,0,True,routine,biweekly,MOW_frozen,United_Way,scheduled,,RTE-0161,8,refrigerated_vehicle,,soft,walker
REQ-00063,CLI-0167,2026-04-01 16:03:00,2026-04-04,13:30:00,15:00:00,5,6,0,True,routine,one_time,MOW_frozen,private_donations,scheduled,,RTE-0226,1,lang_French;refrigerated_vehicle,,diabetic_friendly;low_sodium;heart_healthy,
REQ-00064,CLI-0138,2026-04-10 15:12:00,2026-04-12,10:15:00,13:15:00,5,5,0,True,routine,biweekly,MOW_hot,municipal,in_progress,,RTE-0069,8,refrigerated_vehicle,,,
REQ-00065,CLI-0286,2026-03-29 13:12:00,2026-04-01,09:00:00,10:30:00,10,2,0,True,routine,one_time,MOW_frozen,private_donations,completed,,RTE-0029,25,refrigerated_vehicle,flexible_window,diabetic_friendly;soft,assistance_at_door
REQ-00066,CLI-0052,2026-03-28 10:48:00,2026-03-30,11:30:00,12:30:00,11,6,1,True,routine,weekly,MOW_hot,Island_Health,completed,,RTE-0062,13,refrigerated_vehicle,flexible_window,pureed;vegetarian,
REQ-00067,CLI-0065,2026-03-30 11:06:00,2026-04-01,08:45:00,09:45:00,7,3,2,True,urgent,one_time,MOW_hot,municipal,cancelled,client_request,,,lang_Punjabi;no_pet_allergy;refrigerated_vehicle,flexible_window;flexible_day,diabetic_friendly;minced;lactose_free,assistance_at_door;low_vision;hard_of_hearing
REQ-00068,CLI-0352,2026-04-12 11:25:00,2026-04-15,10:00:00,11:00:00,10,5,1,True,routine,one_time,MOW_hot,United_Way,completed,,RTE-0185,1,refrigerated_vehicle,,low_sodium;heart_healthy,walker
REQ-00069,CLI-0039,2026-04-11 19:15:00,2026-04-12,13:30:00,14:30:00,8,3,1,True,routine,weekly,MOW_hot,Island_Health,completed,,RTE-0054,12,refrigerated_vehicle,flexible_window,,assistance_at_door
REQ-00070,CLI-0171,2026-04-06 11:31:00,2026-04-09,08:45:00,11:45:00,6,7,0,False,routine,one_time,emergency_box,Island_Health,completed,,RTE-0037,13,no_pet_allergy,,diabetic_friendly,walker;low_vision
REQ-00071,CLI-0069,2026-03-22 16:23:00,2026-03-27,13:45:00,15:15:00,8,3,0,False,routine,weekly,culturally_specific,Island_Health,pending,,,,,flexible_window,vegan;lactose_free,
REQ-00072,CLI-0198,2026-04-07 16:41:00,2026-04-10,11:45:00,14:45:00,11,1,0,False,routine,monthly,grocery_hamper,municipal,completed,,RTE-0007,3,,flexible_day;can_leave_at_door,renal,cane
REQ-00073,CLI-0146,2026-04-06 19:03:00,2026-04-07,13:15:00,14:45:00,7,4,1,True,routine,weekly,MOW_frozen,Island_Health,completed,,RTE-0019,30,refrigerated_vehicle,can_leave_at_door,vegetarian,walker;low_vision
REQ-00074,CLI-0481,2026-03-27 14:07:00,2026-04-01,11:45:00,13:45:00,11,1,0,False,urgent,one_time,grocery_hamper,United_Way,pending,,,,lang_Mandarin,,heart_healthy;vegetarian,walker
REQ-00075,CLI-0286,2026-04-09 12:30:00,2026-04-11,09:00:00,10:00:00,5,4,2,True,routine,weekly,grocery_hamper,municipal,completed,,RTE-0089,12,refrigerated_vehicle,can_leave_at_door,diabetic_friendly;soft,assistance_at_door
REQ-00076,CLI-0099,2026-04-06 11:26:00,2026-04-08,10:00:00,13:00:00,10,5,0,False,urgent,one_time,grocery_hamper,private_donations,completed,,RTE-0051,2,wheelchair,,gluten_free;vegetarian,wheelchair
REQ-00077,CLI-0322,2026-04-09 07:41:00,2026-04-12,10:30:00,12:30:00,8,5,0,True,urgent,one_time,MOW_frozen,United_Way,completed,,RTE-0069,2,refrigerated_vehicle,,low_sodium;soft,cane
REQ-00078,CLI-0214,2026-04-05 07:55:00,2026-04-08,12:30:00,15:30:00,7,1,0,True,routine,weekly,MOW_hot,municipal,completed,,,,refrigerated_vehicle,can_leave_at_door,,
REQ-00079,CLI-0385,2026-03-22 06:58:00,2026-03-27,13:45:00,15:15:00,8,5,2,True,routine,weekly,MOW_hot,private_donations,completed,,RTE-0020,8,refrigerated_vehicle,flexible_window;can_leave_at_door,diabetic_friendly;low_sodium,assistance_at_door
REQ-00080,CLI-0241,2026-04-05 18:15:00,2026-04-09,08:15:00,09:15:00,5,4,0,True,routine,biweekly,MOW_frozen,private_donations,scheduled,,RTE-0108,9,no_pet_allergy;refrigerated_vehicle,flexible_window,,
REQ-00081,CLI-0437,2026-03-26 10:42:00,2026-03-28,08:15:00,10:15:00,7,7,0,True,routine,monthly,MOW_hot,Island_Health,rerouted,time_window_conflict,RTE-0060,12,refrigerated_vehicle,,minced,walker
REQ-00082,CLI-0301,2026-04-09 15:54:00,2026-04-11,11:45:00,14:45:00,8,2,0,True,routine,one_time,MOW_frozen,Island_Health,completed,,RTE-0033,2,refrigerated_vehicle,,pureed,walker;bedbound
REQ-00083,CLI-0396,2026-04-14 06:01:00,2026-04-15,12:00:00,14:00:00,11,2,0,True,routine,one_time,MOW_frozen,Island_Health,completed,,RTE-0066,9,refrigerated_vehicle,flexible_day,diabetic_friendly;gluten_free,walker
REQ-00084,CLI-0290,2026-04-10 11:17:00,2026-04-14,11:45:00,13:15:00,6,5,1,False,routine,biweekly,grocery_hamper,Island_Health,completed,,RTE-0027,2,,,low_sodium;heart_healthy,
REQ-00085,CLI-0003,2026-03-28 09:02:00,2026-03-30,09:15:00,11:15:00,5,1,0,False,routine,monthly,grocery_hamper,Island_Health,scheduled,,RTE-0062,14,wheelchair,,soft,wheelchair;hard_of_hearing
REQ-00086,CLI-0135,2026-03-23 19:40:00,2026-03-28,09:00:00,11:00:00,6,1,0,True,routine,biweekly,MOW_frozen,private_donations,completed,,RTE-0060,4,refrigerated_vehicle,flexible_window,low_sodium,cane
REQ-00087,CLI-0142,2026-04-04 06:37:00,2026-04-09,12:45:00,14:15:00,10,4,0,True,routine,weekly,MOW_hot,municipal,completed,,RTE-0108,13,no_pet_allergy;refrigerated_vehicle;two_person,can_leave_at_door,,
REQ-00088,CLI-0075,2026-03-27 17:35:00,2026-03-30,09:30:00,12:30:00,8,2,1,True,routine,weekly,MOW_hot,United_Way,pending,,,,no_pet_allergy;refrigerated_vehicle,,vegetarian,cane;assistance_at_door
REQ-00089,CLI-0468,2026-04-10 17:09:00,2026-04-11,11:45:00,12:45:00,6,3,1,True,routine,weekly,MOW_frozen,Island_Health,scheduled,,RTE-0033,1,refrigerated_vehicle,flexible_window,heart_healthy;vegetarian,assistance_at_door
REQ-00090,CLI-0448,2026-03-24 19:06:00,2026-03-25,12:15:00,14:15:00,9,7,2,False,routine,one_time,emergency_box,United_Way,completed,,,,,,heart_healthy;pureed,
REQ-00091,CLI-0033,2026-03-24 10:05:00,2026-03-26,10:00:00,11:30:00,8,7,0,True,urgent,monthly,MOW_hot,municipal,scheduled,,RTE-0212,4,no_pet_allergy;refrigerated_vehicle,flexible_window,,cane
REQ-00092,CLI-0358,2026-03-30 11:40:00,2026-04-01,08:45:00,09:45:00,10,3,0,True,routine,one_time,MOW_hot,private_donations,completed,,RTE-0029,15,refrigerated_vehicle;wheelchair,,,wheelchair;assistance_at_door;hard_of_hearing
REQ-00093,CLI-0152,2026-03-21 14:13:00,2026-03-25,08:00:00,09:30:00,6,1,0,False,routine,weekly,grocery_hamper,Island_Health,completed,,,,lang_Punjabi;wheelchair,,heart_healthy,wheelchair;low_vision
REQ-00094,CLI-0138,2026-03-22 17:17:00,2026-03-26,08:15:00,09:45:00,7,7,2,True,routine,weekly,MOW_frozen,municipal,cancelled,weather,,,refrigerated_vehicle,flexible_window;can_leave_at_door,,
REQ-00095,CLI-0055,2026-03-20 10:05:00,2026-03-25,09:45:00,11:45:00,7,1,0,True,routine,weekly,MOW_hot,private_donations,completed,,,,no_pet_allergy;refrigerated_vehicle;two_person,,,assistance_at_door
REQ-00096,CLI-0179,2026-04-05 09:05:00,2026-04-09,13:00:00,14:00:00,5,1,2,True,routine,one_time,MOW_frozen,private_donations,in_progress,,RTE-0023,1,no_pet_allergy;refrigerated_vehicle,flexible_window;flexible_day,diabetic_friendly;pureed,
REQ-00097,CLI-0011,2026-03-23 13:18:00,2026-03-26,12:45:00,15:45:00,8,5,0,True,routine,weekly,MOW_frozen,private_donations,completed,,,,no_pet_allergy;refrigerated_vehicle;wheelchair,,soft,wheelchair
REQ-00098,CLI-0460,2026-04-12 12:51:00,2026-04-14,08:00:00,09:00:00,8,4,1,True,routine,weekly,MOW_hot,client_pay,completed,,RTE-0103,13,refrigerated_vehicle,,heart_healthy;pureed,
REQ-00099,CLI-0305,2026-03-29 19:59:00,2026-03-31,08:45:00,09:45:00,8,1,2,True,routine,biweekly,MOW_hot,United_Way,scheduled,,RTE-0178,10,refrigerated_vehicle;two_person,flexible_window;can_leave_at_door,diabetic_friendly;gluten_free,
REQ-00100,CLI-0048,2026-03-30 10:05:00,2026-04-02,10:30:00,13:30:00,7,4,0,True,routine,weekly,MOW_hot,private_donations,completed,,RTE-0079,2,refrigerated_vehicle;two_person;wheelchair,,,wheelchair;bedbound
REQ-00101,CLI-0083,2026-03-27 07:30:00,2026-04-01,13:00:00,14:30:00,5,6,0,True,routine,monthly,MOW_hot,Island_Health,completed,,RTE-0011,12,refrigerated_vehicle,,vegetarian,walker;assistance_at_door
REQ-00102,CLI-0207,2026-04-03 17:24:00,2026-04-05,13:00:00,16:00:00,6,6,1,True,urgent,one_time,MOW_hot,municipal,completed,,RTE-0097,5,refrigerated_vehicle,,diabetic_friendly,cane
REQ-00103,CLI-0254,2026-03-27 18:47:00,2026-03-29,12:30:00,15:30:00,7,7,0,False,routine,weekly,grocery_hamper,private_donations,completed,,RTE-0116,1,no_pet_allergy;wheelchair,can_leave_at_door,vegetarian,wheelchair;hard_of_hearing
REQ-00104,CLI-0474,2026-03-20 09:50:00,2026-03-25,08:45:00,11:45:00,5,4,2,True,routine,weekly,MOW_frozen,Island_Health,completed,,,,refrigerated_vehicle,,diabetic_friendly,
REQ-00105,CLI-0451,2026-03-24 08:21:00,2026-03-28,08:45:00,10:15:00,7,3,1,True,routine,biweekly,MOW_hot,municipal,completed,,RTE-0061,2,refrigerated_vehicle;wheelchair,flexible_window,heart_healthy,wheelchair;walker;cane
REQ-00106,CLI-0322,2026-04-11 11:31:00,2026-04-14,08:15:00,09:45:00,9,3,1,True,routine,one_time,MOW_frozen,municipal,completed,,RTE-0103,1,refrigerated_vehicle,can_leave_at_door,low_sodium;soft,cane
REQ-00107,CLI-0165,2026-03-24 19:54:00,2026-03-29,13:00:00,15:00:00,12,1,1,True,urgent,one_time,MOW_hot,private_donations,completed,,RTE-0009,10,refrigerated_vehicle,flexible_day,diabetic_friendly;low_sodium;pureed,cane
REQ-00108,CLI-0029,2026-03-24 12:04:00,2026-03-27,11:00:00,14:00:00,8,2,1,False,routine,weekly,grocery_hamper,Island_Health,no_answer,no_answer_at_door,RTE-0086,1,no_pet_allergy;wheelchair,flexible_window,soft,wheelchair
REQ-00109,CLI-0072,2026-04-12 14:54:00,2026-04-14,10:45:00,11:45:00,8,7,1,False,urgent,biweekly,emergency_box,private_donations,completed,,RTE-0012,17,,flexible_window;can_leave_at_door,pureed,walker;cane
REQ-00110,CLI-0136,2026-04-12 14:07:00,2026-04-15,11:45:00,13:15:00,7,6,2,False,urgent,monthly,culturally_specific,private_donations,scheduled,,RTE-0090,2,wheelchair,flexible_window,diabetic_friendly;low_sodium;minced,wheelchair
REQ-00111,CLI-0272,2026-04-09 20:08:00,2026-04-11,08:45:00,10:15:00,5,7,0,False,routine,weekly,grocery_hamper,Island_Health,completed,,RTE-0089,3,,can_leave_at_door,diabetic_friendly;soft,
REQ-00112,CLI-0098,2026-04-04 18:07:00,2026-04-07,13:45:00,15:15:00,7,4,0,True,routine,weekly,MOW_hot,United_Way,completed,,RTE-0019,8,no_pet_allergy;refrigerated_vehicle,flexible_window,diabetic_friendly;minced,
REQ-00113,CLI-0401,2026-03-20 17:14:00,2026-03-25,13:15:00,15:15:00,8,2,1,True,urgent,weekly,MOW_frozen,United_Way,completed,,,,refrigerated_vehicle,flexible_window,pureed,assistance_at_door
REQ-00114,CLI-0237,2026-04-09 15:54:00,2026-04-12,12:30:00,14:00:00,14,2,0,False,routine,one_time,culturally_specific,United_Way,completed,,RTE-0026,14,,,pureed,
REQ-00115,CLI-0323,2026-03-21 14:07:00,2026-03-25,08:00:00,10:00:00,7,7,2,True,routine,one_time,MOW_hot,private_donations,pending,,,,refrigerated_vehicle,,,
REQ-00116,CLI-0163,2026-03-31 16:42:00,2026-04-05,13:00:00,16:00:00,8,6,1,False,urgent,one_time,grocery_hamper,client_pay,completed,,RTE-0001,12,two_person,flexible_day,diabetic_friendly,cane
REQ-00117,CLI-0489,2026-04-04 13:10:00,2026-04-06,08:45:00,10:15:00,7,6,2,True,routine,one_time,MOW_hot,United_Way,completed,,RTE-0016,19,refrigerated_vehicle,flexible_day,vegetarian,walker
